id,sentiment
"12311_10",0.992872953414917
"8348_2",0.013677012175321579
"5828_4",0.6832176446914673
"7186_2",0.22643937170505524
"12128_7",0.9199103116989136
"2913_8",0.6080260276794434
"4396_1",0.005666275043040514
"395_2",0.3377087712287903
"10616_1",0.0034480858594179153
"9074_9",0.3745397925376892
"9252_3",0.03499921038746834
"9896_9",0.8657577633857727
"574_4",0.7590503692626953
"11182_8",0.5527511239051819
"11656_4",0.6066787838935852
"2322_4",0.5529078841209412
"8703_1",0.037871815264225006
"7483_1",0.11008911579847336
"6007_10",0.990324079990387
"12424_4",0.042523231357336044
"4672_1",0.008461887016892433
"10841_3",0.06757749617099762
"8954_7",0.6274716854095459
"7392_1",0.06332175433635712
"10288_8",0.9872460961341858
"5343_4",0.011190924793481827
"4950_1",0.005406638607382774
"9257_4",0.6617778539657593
"8689_3",0.012324359267950058
"4480_2",0.09023356437683105
"9286_10",0.9911596179008484
"12245_10",0.9988903403282166
"7529_7",0.9249227046966553
"4_4",0.06986325979232788
"5299_2",0.10781677067279816
"12077_8",0.9888393878936768
"10701_2",0.0015769903548061848
"11579_1",0.014659306965768337
"10993_1",0.031023843213915825
"8913_1",0.04666992649435997
"1350_3",0.01811884343624115
"3804_2",0.003588272724300623
"5025_3",0.6063634157180786
"5170_8",0.4514444172382355
"8225_8",0.9608872532844543
"6427_7",0.9690955877304077
"3165_3",0.2697553336620331
"7902_9",0.9985172152519226
"8208_3",0.030538218095898628
"3577_8",0.9225902557373047
"4865_1",0.03354165330529213
"9063_3",0.13996581733226776
"1106_1",0.28117626905441284
"1117_9",0.9634228944778442
"1050_4",0.21927393972873688
"10755_9",0.33281564712524414
"2729_8",0.9264948964118958
"10072_10",0.9649207592010498
"2904_7",0.9425814747810364
"4584_2",0.421682745218277
"189_4",0.19257822632789612
"6302_4",0.10880554467439651
"8138_9",0.9117563366889954
"1262_1",0.1217518299818039
"2199_10",0.9849995374679565
"6551_7",0.28197404742240906
"8082_7",0.9383151531219482
"4897_8",0.9798249006271362
"7360_1",0.01351719256490469
"11012_10",0.9357849359512329
"12046_1",0.03377266600728035
"2331_2",0.5744099020957947
"8961_9",0.991672933101654
"751_7",0.9384402632713318
"9884_10",0.8606624007225037
"10016_8",0.3422456681728363
"8023_10",0.9447149038314819
"2628_1",0.004780832212418318
"5832_1",0.04343060031533241
"7302_1",0.0831550732254982
"4501_3",0.2335294783115387
"1121_7",0.2733894884586334
"8334_3",0.8399408459663391
"9789_10",0.6063815355300903
"4230_10",0.7817831039428711
"824_4",0.17888160049915314
"6803_9",0.9593945145606995
"3086_7",0.9900115728378296
"1135_8",0.9676664471626282
"10136_1",0.015945281833410263
"11129_3",0.01323889009654522
"2072_8",0.5947852730751038
"9501_7",0.9924843907356262
"319_10",0.5745802521705627
"1693_7",0.985636293888092
"10886_1",0.005652983672916889
"9406_8",0.6383165717124939
"10376_10",0.11876866966485977
"9902_1",0.023371106013655663
"9938_8",0.6603513956069946
"7080_9",0.9043647646903992
"11944_8",0.7773458361625671
"5249_1",0.0030471179634332657
"9599_2",0.39647912979125977
"9620_1",0.009983815252780914
"11244_1",0.062128473073244095
"6841_10",0.9943592548370361
"10050_4",0.6740402579307556
"10512_9",0.9841837286949158
"11327_3",0.026972588151693344
"10681_8",0.9804270267486572
"808_3",0.027400635182857513
"546_7",0.9968437552452087
"10765_1",0.0003835063544102013
"7189_9",0.9767454266548157
"6005_9",0.95436692237854
"11915_9",0.9957068562507629
"5740_10",0.9541314244270325
"7097_10",0.4998783469200134
"9573_10",0.8965626358985901
"5084_4",0.44766297936439514
"12332_7",0.6530039310455322
"8154_1",0.12309303879737854
"5610_1",0.7738339900970459
"5323_9",0.630235493183136
"11034_8",0.9256259202957153
"3977_2",0.007202292792499065
"12380_7",0.22640198469161987
"1737_8",0.42438700795173645
